age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,weekly_offline_hours,job_satisfaction_score
41,Female,Health,,Twitter,47,8.618984053,8.515497659,7.428870815,5,6.275958604,0,2,FALSE,FALSE,2,26,0.229510678,5.590405802
61,Female,Education,1.445357724,Twitter,62,6.419898207,6.873341152,5.957136871,6,6.975413398,0,4,TRUE,TRUE,3,17,14.08895868,5.442305019
47,Other,Health,1.437665734,TikTok,63,7.610461055,7.832933412,6.969125319,7,5.399600829,1.035227902,10,FALSE,FALSE,2,22,3.565712707,6.49048125
55,Female,Finance,0.071503469,TikTok,50,7.093237051,8.968751093,8.119665072,5,5.223283455,0.880364674,2,FALSE,FALSE,1,21,4.720501275,8.548482374
19,Male,Health,5.91604426,Twitter,65,6.592757486,3.873518583,2.974136908,5,5.546582305,0.829939132,1,FALSE,FALSE,2,22,10.61948878,3.207400975
38,Male,IT,4.03031542,TikTok,57,6.299842055,6.851403386,6.073044145,7,5.006477533,1.260447203,6,TRUE,FALSE,1,13,14.25170099,5.784979033
50,Male,Finance,4.242185462,Instagram,58,5.068888915,2.428810855,1.438417963,,7.707290757,0.348540417,7,TRUE,FALSE,2,14,14.33184689,0.842077293
29,Male,Student,1.551556083,Telegram,52,7.965373696,8.564363325,7.209460412,3,6.71104691,0.772265661,8,FALSE,FALSE,0,22,6.72408981,7.587603668
39,Female,Education,4.59341867,Facebook,73,10.6195746,3.230612085,3.660009489,2,6.773534022,1.961318194,5,TRUE,FALSE,0,15,16.92190206,4.41655005
61,Female,Finance,1.984596415,Telegram,56,5.983900412,5.981160383,5.67238293,3,,0.687990291,10,TRUE,FALSE,0,9,0.690294251,5.181729536
42,Male,Health,2.076693205,Telegram,57,8.254002161,5.140097801,4.767331766,3,3,1.560576379,0,TRUE,TRUE,2,0,16.43896367,6.176499824
44,Male,Finance,5.144763133,Facebook,55,8.096871864,2.218581344,2.41690868,,5.009060289,1.748973196,0,FALSE,FALSE,0,24,5.104789444,0.518371703
59,Male,Unemployed,,Twitter,74,7.903398588,2.105928194,2.123451286,8,7.432226649,1.399772673,8,FALSE,FALSE,0,23,1.93481437,1.343864544
45,Male,Student,1.00345412,Telegram,56,7.503856646,4.35001799,3.618640575,8,5.513561041,0.849944323,5,TRUE,FALSE,2,16,1.859838533,5.572064562
33,Male,Unemployed,0.7656522,Twitter,62,2.202104772,2.983357645,2.40311702,7,4.956083978,1.173385972,6,TRUE,FALSE,3,1,16.98255792,3.780552021
32,Female,Finance,2.707443885,Twitter,59,5.399454955,8.313993471,7.986016314,7,7.178262023,0.238806318,0,FALSE,FALSE,2,21,23.09173053,8.51019263
64,Male,Student,7.124254014,Instagram,59,6.73757303,8.544160503,6.964985503,,,,4,TRUE,FALSE,3,8,31.21677865,8.689123964
61,Female,Student,2.480195084,TikTok,61,7.669313203,5.289302949,4.515495404,10,7.379771914,1.024357126,0,FALSE,FALSE,2,10,13.48241715,5.589337823
20,Male,Finance,0.399183513,Facebook,55,6.433980729,6.789495044,,9,4.734784814,1.33737797,5,FALSE,FALSE,2,23,1.08062836,5.889231707
54,Male,Education,1.749943184,Facebook,57,6.303235157,3.938243575,3.876732391,4,8.03874053,0.912837798,4,FALSE,FALSE,3,13,13.08443573,5.512511516
24,Female,Education,2.06964626,Facebook,52,7.208452862,8.027077221,,,8.757313556,1.031397134,8,TRUE,FALSE,2,9,0,5.971140466
38,Female,Health,3.094253885,TikTok,67,7.086458552,5.560696544,4.662193807,8,7.996752239,1.68830504,8,FALSE,FALSE,2,25,3.351965038,4.870622594
26,Male,Unemployed,3.726209044,Facebook,60,6.871058241,5.940536694,,1,6.017000351,2.203276851,9,FALSE,FALSE,3,16,17.37128447,6.080559947
56,Female,Finance,,Telegram,60,8.002335464,4.10973726,3.239902484,6,5.757353462,0.981707187,0,TRUE,FALSE,3,17,15.05012151,2.107235511
35,Male,Unemployed,0.552922333,Facebook,46,4.868809574,3.079764435,2.973938096,5,5.432912864,0.859312492,6,TRUE,FALSE,2,4,11.54303299,2.3419144
21,Male,Unemployed,0.401118686,Instagram,60,9.643722291,8.869538889,7.934279342,4,5.79665295,1.312938277,7,FALSE,TRUE,1,5,19.53350723,8.959259064
42,Female,Finance,5.039176278,Twitter,58,6.291765531,7.546805468,6.834059712,3,7.405845812,2.9665769,3,FALSE,FALSE,1,2,21.69603488,6.133766687
31,Female,IT,,Twitter,59,5.538296146,2.996625798,2.711897598,5,4.25031407,0.15701462,9,FALSE,TRUE,2,4,8.983661147,3.701178644
26,Male,Education,3.559177299,Instagram,51,9.284383377,8.480476499,7.054453196,6,5.232029661,,5,FALSE,FALSE,2,30,0,6.832963285
43,Male,Student,,TikTok,67,9.931233634,2.059244951,1.642676881,7,,2.094190743,1,FALSE,TRUE,1,27,30.74638059,0
19,Female,IT,1.990462099,TikTok,60,8.317581439,8.537355805,7.597030635,8,6.102316704,1.280339818,0,TRUE,FALSE,1,29,14.39243941,6.532444804
37,Male,Finance,0,Facebook,62,10.67515066,7.774363583,7.586339465,6,,1.292612871,3,FALSE,FALSE,0,19,14.29841076,7.220725067
45,Male,IT,,Facebook,66,4.811772468,,4.419091282,6,6.678753056,2.029745239,0,FALSE,FALSE,0,31,4.903220221,3.711497849
64,Female,Education,5.620133439,Telegram,63,8.803146979,2.580880088,2.74294482,5,6.858637881,1.344101463,10,TRUE,FALSE,5,19,0,3.205556307
24,Female,Finance,2.958615416,Twitter,59,11.01855562,7.734314758,6.893086988,3,6.947955012,0.71214764,0,TRUE,FALSE,0,2,11.02076402,7.540387812
61,Male,Unemployed,1.632920852,Facebook,51,7.969799586,8.900948444,7.361611655,1,4.789860414,0.69330698,9,FALSE,FALSE,4,11,21.94840464,8.878769767
25,Female,Unemployed,6.590503269,Instagram,48,2.254103282,6.692181574,5.420393108,1,3.926680903,0.812798986,3,TRUE,FALSE,3,12,3.988165596,5.123468908
64,Female,Education,1.569812062,TikTok,66,9.957394424,3.324562415,3.40693953,1,6.349141884,,2,TRUE,FALSE,2,25,9.190318792,4.540201598
52,Male,IT,4.58999797,Facebook,61,7.411127023,4.173630616,3.244048488,1,6.639677237,0.851414201,2,TRUE,TRUE,3,26,5.216176793,2.044690871
31,Female,Health,0.009858802,TikTok,55,8.793411271,4.942293493,4.276708433,7,9.832130948,0.606544466,1,TRUE,FALSE,0,2,10.88224133,
34,Other,Student,3.917471285,Twitter,45,5.682420632,4.066352075,,2,8.422770992,,10,FALSE,FALSE,4,26,11.93008444,2.567383294
53,Male,Student,0.402138738,Telegram,72,5.173965277,6.033503351,5.325118473,4,8.248283196,0.272918153,1,FALSE,FALSE,1,22,11.13209861,4.061283908
57,Male,Health,3.757331203,TikTok,62,6.681095324,7.827750822,6.972137571,3,5.37803615,0.988124774,5,TRUE,FALSE,4,1,17.27280953,6.310735074
21,Female,Health,,TikTok,57,7.527907655,6.944950809,6.91956281,6,5.298373754,0.920692371,8,FALSE,FALSE,2,2,14.11114136,6.14346545
19,Female,Health,2.267765112,Facebook,61,2.752014974,5.482103616,5.394193721,4,,0.251315503,10,TRUE,FALSE,2,9,6.292686882,7.734261536
23,Male,Education,,Facebook,49,3.879482556,7.937436985,6.812805739,10,5.939011261,,5,FALSE,FALSE,2,7,3.792237988,5.802003767
59,Female,Finance,5.167122019,Twitter,69,7.06898894,8.561590224,7.782286966,6,9.669677481,0.561234577,6,FALSE,FALSE,1,13,30.65838764,7.378026395
21,Female,Health,2.829569491,Telegram,51,6.001544284,2.495492125,2.103487892,2,8.870621708,0.023145293,2,FALSE,FALSE,2,13,12.54204059,0
46,Female,Education,3.790185231,Facebook,50,7.144770136,3.103956907,2.183492289,4,6.690619891,0.278712101,2,FALSE,FALSE,2,26,7.000101381,1.929641841
35,Female,Unemployed,8.694539037,Telegram,67,9.509569186,6.639874472,5.537632262,3,6.238619328,0.500126279,8,FALSE,FALSE,1,13,0,5.742395546
43,Male,IT,0.49833583,Telegram,58,8.668567292,7.817793613,6.775056842,,6.939733816,0.196081024,8,FALSE,TRUE,3,22,14.36815271,8.10470683
61,Male,IT,1.459002345,Facebook,56,9.146950511,6.368552307,5.894081943,9,5.09730947,3,6,TRUE,FALSE,1,14,12.69422539,6.198401271
51,Female,Health,0,TikTok,53,5.818752308,3.542764421,2.780495211,7,7.997244748,0.779034784,8,FALSE,FALSE,2,11,3.387619885,
27,Male,IT,0,Instagram,64,8.363818564,5.711110922,4.404630627,4,5.715426537,1.684389689,4,TRUE,TRUE,2,6,0.476781185,4.572272375
53,Female,Health,6.811090571,Twitter,52,3.75750859,2.829370095,2.147642971,10,7.213723296,0.722990858,5,TRUE,TRUE,2,10,8.122276083,2.54963569
31,Male,IT,2.1617928,Telegram,56,6.126468693,5.617262232,5.265213586,,7.414759405,1.182627458,10,TRUE,TRUE,0,1,1.943422477,4.605971655
48,Male,IT,,TikTok,69,6.734446994,3.312798191,2.455952675,10,3,1.668395126,10,FALSE,TRUE,1,18,10.64318471,2.317097829
65,Male,Finance,2.434694219,Telegram,76,5.671857352,3.551649352,4.266142698,9,7.927263959,2.594968922,0,TRUE,FALSE,3,29,21.73168859,4.131089975
32,Female,Finance,2.012029995,Facebook,61,2.305149683,5.882354673,4.349644803,2,5.602479944,0.545211371,10,FALSE,FALSE,3,23,0,5.21935997
25,Female,IT,0.901222107,Twitter,66,4.814427009,6.25006933,4.500942214,8,6.074014817,0.628350081,1,FALSE,FALSE,0,3,15.07957824,5.444899045
31,Female,Finance,,Twitter,55,6.892571891,3.172726638,,7,7.874516099,1.918927148,8,FALSE,TRUE,1,24,27.51566283,2.21252726
40,Male,Health,3.315270837,TikTok,70,10.45128114,5.677850939,5.168362702,1,,1.000791427,8,FALSE,FALSE,3,21,2.664446603,5.819830868
57,Male,Student,2.179741705,Telegram,73,6.330421724,8.117721943,7.106348642,5,7.283678028,0.896255799,10,FALSE,TRUE,2,11,19.95403456,8.08175805
38,Female,Health,4.704052712,TikTok,69,10.20809751,3.402289497,2.316293517,9,5.619666216,0,10,TRUE,FALSE,1,13,4.154830678,2.594704254
33,Male,Finance,2.876874138,Facebook,60,9.036383862,4.544230571,4.902807962,6,4.699636905,0,3,FALSE,FALSE,0,0,12.77732153,3.446825003
62,Female,Education,3.026898068,Instagram,67,4.925052201,5.236741853,5.200040222,,5.36329129,1.63343324,3,FALSE,FALSE,6,8,7.387209075,5.378536444
35,Female,IT,2.615327479,Facebook,64,7.950673782,3.198433449,2.696861821,3,8.108067701,0.477262309,7,FALSE,FALSE,2,30,11.91198966,3.268567261
64,Male,Finance,0.53230927,Telegram,55,9.994900565,2.955783587,1.995302995,1,5.930609687,1.728716498,7,TRUE,TRUE,0,1,6.396624495,2.258760268
41,Female,Unemployed,0.612193266,Instagram,65,8.689897005,8.150548025,6.834171256,5,7.015483261,1.059272135,1,FALSE,FALSE,4,5,0,7.481061577
43,Male,Unemployed,3.241396964,Instagram,56,6.928628079,7.286280911,6.995379403,10,,,10,TRUE,TRUE,2,16,6.340013707,6.14591552
42,Female,Finance,1.483537272,Instagram,55,6.984493325,2.487903388,,7,5.258503618,0,1,TRUE,FALSE,1,1,16.33126426,
62,Male,Finance,4.195709737,Facebook,63,3.019634596,2.840976467,2.217922608,7,6.809320102,0,5,TRUE,FALSE,0,25,0,2.991299799
58,Male,Unemployed,2.329729235,Telegram,67,7.462060696,7.263932517,6.277155789,8,6.323789611,1.310297857,4,FALSE,FALSE,2,13,6.794327544,6.505253584
46,Female,Health,1.454227521,Instagram,55,3.682250488,,,10,7.659991007,1.028784612,5,TRUE,FALSE,2,27,13.19926394,6.620625725
32,Female,IT,3.517820947,TikTok,63,7.411063399,5.485998637,6.124940735,6,7.06351422,1.223497414,1,TRUE,FALSE,3,31,1.586505968,6.999748487
62,Female,Student,,Instagram,65,8.265888019,6.096871985,5.155044431,7,5.792755294,1.434080466,1,FALSE,TRUE,0,11,11.11058238,
18,Female,Unemployed,0,Facebook,61,7.304282297,2.243052043,1.713644036,4,5.410054034,0.192457809,9,TRUE,FALSE,1,18,8.846835555,2.731653991
42,Female,Unemployed,0,TikTok,65,4.357956032,3.866798893,3.0257466,8,7.657045716,0.408813333,9,TRUE,FALSE,1,12,12.75520105,2.863038979
24,Male,Unemployed,,Telegram,48,6.772253754,6.775937878,6.317579051,9,5.395500279,0.553664765,2,TRUE,FALSE,3,2,16.27388691,5.645431096
26,Female,Finance,1.514861116,Telegram,64,5.115891583,4.590760353,4.311624678,4,5.337726916,0.716477248,0,TRUE,FALSE,0,21,14.20461624,5.158492207
41,Female,Education,3.303658158,Facebook,71,5.158444943,2.136751916,1.757421919,6,6.905097612,0.362405601,7,TRUE,FALSE,1,16,12.95317718,
18,Male,Unemployed,3.464867685,Instagram,62,6.648501546,8.487270363,7.788354313,8,5.14019988,1.448915851,3,FALSE,FALSE,7,16,1.892515115,
61,Female,IT,5.406637934,Telegram,70,7.178904008,8.251030085,7.035344695,6,7.282867844,0.379527976,2,FALSE,TRUE,2,23,0,7.011572451
25,Female,Student,6.29913421,Twitter,70,6.738262995,7.791807124,7.203696015,6,7.076230409,1.028478082,9,FALSE,FALSE,2,25,15.99247378,
41,Male,Unemployed,0.711946492,Instagram,61,5.812897936,2.781832758,,4,3.99317437,,6,FALSE,FALSE,3,27,17.11190949,2.994340125
28,Female,Education,2.701538211,TikTok,51,6.35483522,2.568956337,1.811361593,8,7.946939226,0.659185725,1,FALSE,FALSE,3,5,16.11333591,1.44671
34,Male,Unemployed,2.752916928,Facebook,53,8.170608269,5.399143545,5.392778979,3,7.238123806,1.50334038,0,FALSE,FALSE,2,28,9.502875731,
25,Male,Student,6.03805987,Facebook,53,7.813811591,2.305457119,2.317278268,1,7.781403989,,7,TRUE,FALSE,2,22,0,2.645606224
52,Male,Student,0.121108319,TikTok,59,8.321229646,2.243627992,3.244120093,7,9.392992708,0.600967251,9,FALSE,TRUE,1,20,16.48841563,4.488792212
52,Female,Unemployed,5.871146345,Instagram,57,4.444149613,3.175582545,3.424269673,9,8.479868822,1.418952349,9,FALSE,FALSE,1,14,16.54067099,4.98680258
50,Male,IT,4.125252173,TikTok,66,5.296826242,6.775936081,5.48924892,3,6.613458404,2.016725542,0,TRUE,FALSE,0,23,0,6.877793997
22,Female,Health,1.901294907,TikTok,58,7.18538031,4.442662168,4.340350221,3,6.994041466,0.132193364,5,FALSE,TRUE,1,5,17.11074775,3.45259427
59,Female,Education,4.744573711,Twitter,54,6.509704154,6.74447606,5.903169092,4,7.683469604,0.894448336,4,FALSE,FALSE,2,11,12.66836493,6.928611236
56,Female,Unemployed,2.2501769,TikTok,62,6.388060233,4.52242282,,7,7.964616902,1.740601758,3,TRUE,FALSE,3,21,1.819563222,5.774385714
58,Male,Finance,0,Facebook,63,8.430568429,5.92137582,6.427089553,8,,0.03140767,9,FALSE,TRUE,2,0,15.18792,
45,Female,Student,3.24195614,Telegram,66,8.49615724,6.519756332,6.891604253,7,3.604646683,0,10,FALSE,FALSE,4,18,5.147247442,7.730881476
24,Female,Education,2.471388798,Instagram,59,7.350579559,4.450892835,3.72727167,3,6.527676662,1.66280052,10,FALSE,TRUE,4,12,12.58085437,3.995413946
26,Female,IT,2.029021075,Telegram,53,1.506036594,3.42501995,2.892473087,10,5.869977138,0.705389265,0,FALSE,TRUE,4,30,7.501049919,2.354062687
25,Female,Education,1.418675282,TikTok,58,3.937765166,3.115340344,2.479970968,6,7.644771194,1.460980346,8,FALSE,FALSE,3,0,0,3.89604107
29,Female,Finance,4.230857741,TikTok,65,6.492256221,3.3204471,2.715020247,4,6.840965202,0.670038833,6,FALSE,FALSE,3,17,21.01985753,1.374025782
51,Female,Finance,2.970205027,Twitter,58,5.626374319,6.766005328,6.341939164,8,,0.859155126,10,FALSE,TRUE,4,1,7.842642696,4.896383196
50,Male,IT,2.049001851,Facebook,60,7.088303739,4.95379526,5.355694288,3,7.739247791,1.157313787,10,FALSE,FALSE,2,1,10.72301816,4.703771878
65,Male,Education,1.786630934,Instagram,67,8.899462907,3.347891866,3.359993157,6,,0,0,FALSE,FALSE,1,12,11.86164803,
40,Male,Unemployed,2.080004427,TikTok,52,7.576511845,6.700602413,5.592926082,2,5.724298473,1.430492788,0,TRUE,FALSE,2,7,7.109421256,3.093954649
41,Male,Health,1.834772504,Facebook,42,9.292599786,2.838206708,2.003179727,9,6.116456853,2.491361931,6,FALSE,FALSE,1,15,14.01381942,3.030717438
54,Female,Health,2.186843041,Telegram,62,7.43132408,5.987519146,5.224774967,9,7.251453927,0.989407484,7,FALSE,TRUE,6,2,6.735111775,5.238522462
52,Female,Unemployed,,Instagram,50,7.465868915,4.205825295,3.548771722,2,,0.314495535,0,FALSE,FALSE,4,7,5.295456083,2.839383704
61,Other,Student,2.257144501,Instagram,53,5.10589024,3.414142295,,10,6.2639228,1.549190879,3,FALSE,FALSE,2,14,19.77345878,1.234003289
57,Female,Unemployed,3.306719991,Twitter,52,5.9373537,5.959045506,5.606499656,7,6.859922947,0.011134133,5,FALSE,TRUE,2,9,19.81052667,5.197624562
39,Female,Student,2.230478865,Facebook,59,6.074145289,7.528089884,7.626863106,3,4.662609588,0.753948305,4,FALSE,TRUE,3,5,18.05848849,7.14054693
44,Male,Education,0,Instagram,61,7.682107254,6.638191691,5.763209186,,3.595675546,1.427413151,3,TRUE,FALSE,2,4,13.09146461,6.671074022
52,Female,Unemployed,3.436939035,Telegram,65,6.5207777,7.686109398,6.431692412,7,8.063083473,0.383135691,2,FALSE,TRUE,1,5,4.558983218,7.081483571
18,Male,Student,1.567527717,Telegram,59,9.173010675,6.748900975,5.814330364,3,5.237579469,2.073419641,0,FALSE,FALSE,1,2,8.81814758,6.164567403
52,Male,Finance,,TikTok,37,5.365337748,,2.983186285,1,7.536619273,0.068296574,8,FALSE,FALSE,2,17,24.86678318,1.785794628
54,Female,IT,6.310082717,TikTok,57,7.651581562,2.254863845,1.42223756,5,5.843348421,1.734815313,3,TRUE,FALSE,2,28,10.26635204,
64,Male,Student,1.677437289,Telegram,73,7.10642989,2.410748528,2.189938723,8,7.261828022,1.872207336,1,FALSE,FALSE,5,1,8.214721108,1.768900114
31,Male,Unemployed,4.810442061,Facebook,68,4.602497757,6.889626124,5.374123729,9,5.193366178,2.431363153,1,TRUE,FALSE,3,3,6.309772613,6.014949101
20,Female,Health,2.175830415,Facebook,69,7.473711932,8.338722685,7.678578537,5,5.477516599,0.893617136,6,TRUE,TRUE,3,3,9.282617427,10
18,Male,Unemployed,2.384882172,Telegram,63,9.980333403,,2.231709443,5,3.623667048,1.348875108,10,FALSE,FALSE,1,26,6.217213078,2.107334082
22,Male,Finance,3.755642539,Telegram,67,7.601481725,5.675480825,5.499692894,6,6.663800073,0.901437866,7,FALSE,FALSE,2,27,12.99214042,5.533846801
43,Male,Health,0,TikTok,66,5.227980152,3.818725236,,6,4.969381978,1.150835594,3,FALSE,FALSE,2,16,3.485424086,3.333568128
31,Male,Student,0,Telegram,59,10.40477405,7.086715752,6.441898637,9,8.524292349,1.787396866,9,TRUE,FALSE,2,29,0,6.763981268
56,Male,Unemployed,3.114817468,TikTok,70,7.370401371,2.484573274,2.593345047,4,6.661793097,1.057830485,6,FALSE,FALSE,3,26,12.71471736,1.964332485
44,Female,Student,0,TikTok,71,9.796561652,6.793894462,6.48867626,,3.201585201,0.539467564,8,TRUE,FALSE,3,24,22.6901014,6.042464551
26,Male,Finance,5.170530868,TikTok,64,8.862140055,,6.915419571,3,6.489588552,0.011366791,6,FALSE,TRUE,4,19,24.96489334,7.973963783
32,Female,Health,5.670088628,Twitter,56,8.16156222,4.124112452,3.5040306,5,,2.480944688,6,FALSE,FALSE,0,6,12.49876244,3.864906556
32,Male,IT,3.707248529,Facebook,57,7.48556298,4.688661777,3.885212146,8,3.522138291,1.332947826,10,FALSE,FALSE,5,6,24.72610015,4.545609487
43,Female,IT,2.738590873,Telegram,50,11.91693954,2.174425283,1.298762392,6,5.782276382,1.379713251,7,TRUE,FALSE,1,21,12.85848333,0.887410453
59,Female,Finance,5.217943294,Twitter,57,8.609597658,6.831070051,5.318996525,3,5.745258938,1.287088366,9,FALSE,FALSE,4,9,3.507816227,5.359979162
30,Female,Unemployed,2.070318064,TikTok,59,6.378463001,4.323241769,3.773079504,1,6.749314886,0,4,FALSE,FALSE,1,13,12.9535718,4.443717739
49,Female,Student,2.246007994,Twitter,55,5.00985384,7.418185585,6.329151332,7,6.180387392,0.643242372,8,FALSE,FALSE,1,15,11.74417382,4.942276285
56,Female,Unemployed,,Twitter,56,9.138670427,6.639255706,6.61433293,2,4.717844334,0.317375467,4,TRUE,TRUE,2,2,15.41204401,6.467642217
49,Male,Finance,1.344959438,Facebook,59,4.807688333,6.456263053,6.637370941,6,6.869464336,1.476323756,10,FALSE,FALSE,1,26,7.081706124,7.309147962
21,Female,Health,5.583121918,Instagram,72,4.16537759,2.671333869,1.773230516,8,9.029215694,0,8,TRUE,FALSE,0,27,3.354905496,
47,Female,IT,5.521179711,TikTok,46,9.712560374,7.331159114,6.947773219,5,7.573395061,0,1,FALSE,TRUE,2,27,12.3686988,6.364402497
54,Male,Student,1.11818391,Twitter,51,4.015338513,2.454445638,1.831194628,,5.8705504,0.184752997,2,TRUE,FALSE,1,28,19.31145206,0.763170213
40,Male,Health,1.500618882,Telegram,53,3.398029178,2.9951529,2.827710325,9,6.881045417,,6,TRUE,TRUE,1,17,11.07453161,2.331445507
56,Male,IT,2.301460876,Instagram,54,7.836082628,8.14916931,7.241639317,2,7.547442963,1.520707141,8,FALSE,FALSE,0,6,6.489848353,7.648839805
62,Female,IT,5.404169652,Instagram,68,8.346652707,4.968280896,4.554474307,10,6.289376669,0,9,TRUE,FALSE,2,18,9.901175217,4.050967654
32,Male,Education,2.29109841,Twitter,59,6.06060878,8.796720739,7.981831154,5,7.065614423,0.477534026,3,FALSE,TRUE,2,8,7.172142227,
60,Male,Student,3.314460933,Instagram,54,7.592190922,3.732032942,2.59211982,1,5.112304962,1.080525435,7,FALSE,FALSE,3,13,17.52144465,4.180554108
46,Male,Finance,0.865554592,Instagram,52,5.109149502,6.798724621,5.713097284,5,7.836023456,1.872104308,4,TRUE,TRUE,1,19,20.21094005,5.105049753
53,Female,Education,6.043881188,Twitter,57,5.210138575,,4.764569033,7,7.654245534,1.804128288,8,TRUE,FALSE,1,8,16.07125674,4.554001827
30,Male,IT,0.661608306,Facebook,57,8.478700585,2.070692939,2.417413482,5,7.261709153,0.709872412,0,TRUE,FALSE,0,21,0,
49,Male,Student,2.176956399,Telegram,54,5.131210313,8.248376033,7.491101514,6,6.59498468,0.07729042,0,TRUE,FALSE,2,25,2.567309005,7.566046294
24,Female,Student,0,TikTok,53,4.500142756,3.207994165,3.353629747,8,,1.587917916,5,FALSE,FALSE,3,8,7.914376251,3.257324663
39,Female,Education,5.469999836,Facebook,54,7.997455353,7.655601246,6.730870301,5,5.518455059,,3,FALSE,FALSE,1,2,6.74537735,
45,Female,Health,2.937259818,TikTok,58,7.30998033,2.7398636,2.276031627,3,8.690036008,0.346456457,3,TRUE,FALSE,4,5,8.596130179,1.389852959
19,Female,Health,6.557241375,Twitter,79,6.444642198,6.646401001,5.887914588,8,,0,10,FALSE,TRUE,4,16,24.75188061,6.290052722
59,Male,Finance,1.038254271,TikTok,48,7.066885418,7.088150212,6.220048819,6,7.590783359,0.377240422,9,TRUE,FALSE,0,11,18.04007387,
62,Male,Student,5.09860174,Facebook,66,8.497794528,4.355181395,3.647629368,2,5.826094517,0.664612471,2,FALSE,FALSE,3,16,3.443924578,2.444641449
23,Male,Unemployed,3.786920471,Telegram,63,7.435984548,3.898905809,4.004675681,3,4.489218107,0.799268474,7,FALSE,FALSE,1,20,27.44231624,4.132405245
45,Female,Education,1.413357468,Facebook,61,3.292918862,8.557608171,7.671969944,3,3.544492999,,6,TRUE,TRUE,0,0,15.31631268,9.043331498
45,Male,IT,1.68154317,Instagram,60,9.476974195,3.518639805,3.073948873,2,7.590434639,1.130263955,8,FALSE,FALSE,3,14,0,2.167120448
61,Female,Health,4.095573595,Instagram,53,9.699164983,2.755960925,1.525596255,4,7.453240024,1.870749706,6,TRUE,FALSE,3,21,21.73338207,1.430907755
61,Other,Education,2.923854482,Facebook,64,8.269376034,2.467492938,1.798956744,4,5.642473025,0.213111376,5,FALSE,TRUE,1,20,8.006113157,1.291189103
